,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
105,Shotgun,"George Ezra",10592,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
106,"Wonderwall - Remastered",Oasis,10578,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
107,"I'm Still Standing","Elton John",10538,https://open.spotify.com/track/1jDJFeK9x3OZboIAHsY9k2
108,"Before You Go","Lewis Capaldi",10442,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
109,"Under Pressure - Remastered 2011",Queen,10435,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
110,Promiscuous,"Nelly Furtado",10376,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
111,"Commitment Issues","Central Cee",10319,https://open.spotify.com/track/0UCKUJU94sx8XBQnaNsRkB
112,"Days Like This","Dermot Kennedy",10316,https://open.spotify.com/track/0W6vig3DpP1D3R4w72hdWp
113,"Way Too Long","Nathan Dawe",10314,https://open.spotify.com/track/4YMApzzqCO31TPxPvgdHhh
114,"Hips Don't Lie (feat. Wyclef Jean)",Shakira,10249,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V
115,"Breaking Me",Topic,10219,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
116,telepatía,"Kali Uchis",10209,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
117,"Things Are Different","Picture This",10175,https://open.spotify.com/track/0FD7SGdBRoPq5PqVRULpJW
118,"Last Time","Becky Hill",10061,https://open.spotify.com/track/54zJ1SxDe0CQhWRij7E0no
119,"Take You Dancing","Jason Derulo",9879,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
120,Classic,MKTO,9694,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
121,"Afraid (feat. HARLEE)","James Hype",9659,https://open.spotify.com/track/4FUFk1uJuPtUJrDQ8ZSylK
122,"One Dance",Drake,9609,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
123,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",9558,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
124,"Mr. Blue Sky","Electric Light Orchestra",9553,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp
125,"Sex on Fire","Kings of Leon",9508,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45
126,"Ride It",Regard,9484,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
127,"Brown Eyed Girl","Van Morrison",9483,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
128,Belter,"Gerry Cinnamon",9482,https://open.spotify.com/track/3buZ8XXWl8OJriJXL48XJc
129,Señorita,"Shawn Mendes",9469,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
130,"Shut Up and Dance","WALK THE MOON",9388,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
