,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,Euro,SCH,64606,https://open.spotify.com/track/1zPefdsgeLBNZjkxKstBrh
84,HOLIDAY,"Lil Nas X",64496,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
85,"Calling My Phone","Lil Tjay",64322,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
86,Angela,Hatik,63956,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
87,"Dieu merci",Dadju,63815,https://open.spotify.com/track/1HDqaIxeJ70BTHgZWEuaeT
88,"Laisser faire",Angelcy,63288,https://open.spotify.com/track/79aL0u0Ll6BdI4YrrIXY5y
89,"Derrière le brouillard","Grand Corps Malade",63054,https://open.spotify.com/track/41mbANHqOIULPmYi5Hp4ey
90,"Vie de star (feat. Ninho)",Leto,62080,https://open.spotify.com/track/7toL2moA2sVueHJKDhVD0n
91,beau-papa,Vianney,61933,https://open.spotify.com/track/5wXkbtZO1HsOQ1P75zi35p
92,Aluminium,SCH,61786,https://open.spotify.com/track/4h1XaZGJm0skvKAzjc8CtJ
93,Rasputin,Majestic,61718,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
94,"Sans limites",Naps,60993,https://open.spotify.com/track/2p7V1QEwmNpJS4Cr7KGGWo
95,Arcade,"Duncan Laurence",60950,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
96,Moi-même,"Djadja & Dinaz",60865,https://open.spotify.com/track/78JV0Tgit8pAKUiAW7vhsn
97,"Joli bébé",Naza,60775,https://open.spotify.com/track/1J4oMIhWDUd9cI1urhEyjl
98,"Floating Through Space",Sia,60549,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
99,"Macaroni (feat. Ninho)",Leto,60355,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
100,"What You Know Bout Love","Pop Smoke",60073,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
101,Perdu,"Djadja & Dinaz",59889,https://open.spotify.com/track/5xjcnpvUMe0rXiDKNZT5Wf
102,"À la fête",UZI,59853,https://open.spotify.com/track/5TyBXMmVCtAxpOMTCILl8C
103,Essayez,"Djadja & Dinaz",59396,https://open.spotify.com/track/5buwti8KR41CbKSv3nnqzu
104,Vivre,47ter,58576,https://open.spotify.com/track/1RCBTBrZMvbtlqZeZH1nzT
105,"Dans l'dos",Kekra,57708,https://open.spotify.com/track/7gi31ULI4vzNFUw8pokrfm
106,Mafia,SCH,57702,https://open.spotify.com/track/1rCUcUnzMbnvf7cLOl2EkJ
107,Runaway,AURORA,57557,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
108,"Watermelon Sugar","Harry Styles",57493,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
109,"Grand bain",Dadju,57491,https://open.spotify.com/track/0W4MOQ2kTOm1y7ooahgQP1
110,Dior,"Pop Smoke",57144,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
111,Brrr,"Vladimir Cauchemar",56691,https://open.spotify.com/track/3bD9Zh2r81FCSrHLWmOmix
112,"My Head & My Heart","Ava Max",56383,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
113,"Rather Be You","Tom Gregory",55525,https://open.spotify.com/track/1My8oKezaFe1yuwowQKHuy
114,"La cage et la clef","Djadja & Dinaz",55462,https://open.spotify.com/track/5adBd6nubkd4fUeRDAL8VP
115,telepatía,"Kali Uchis",55354,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
116,EUPHON,Gazo,55124,https://open.spotify.com/track/26xheWSJ6cJf1oF5ooC4ZC
117,"Plus rien à se dire",SCH,55098,https://open.spotify.com/track/7HRCfrGnfLDyLmeV3dWnN6
118,"Mais je t'aime","Grand Corps Malade",54912,https://open.spotify.com/track/2twcZTB1udOEzDCPpTiOju
119,A$AP,Gazo,54629,https://open.spotify.com/track/10nCB4Iq9BI3aW2iEldiR9
120,"Fils 2",Niro,54602,https://open.spotify.com/track/3IHyLOqJ4WPGRHWB7UjXmg
121,BELLE,GIMS,54548,https://open.spotify.com/track/41xAUseykaaSdmry5hVOkV
122,Raisons,SCH,54295,https://open.spotify.com/track/5psKag7FkSEQuoHBBCTIIt
