,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,"Emlékszem (Vagy...)","ByeAlex és a Slepp",4394,https://open.spotify.com/track/7LcRPdAyuhZRGudo4MKCSd
98,"Therefore I Am","Billie Eilish",4357,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
99,"In Your Eyes (feat. Alida)","Robin Schulz",4277,https://open.spotify.com/track/1ME3PNQYZbMGN73NN2Vhlh
100,Keverem,"Bruno X Spacc",4202,https://open.spotify.com/track/55yTm9krr4hVGc1czrAMF1
101,"Love Not War (The Tampa Beat)","Jason Derulo",4138,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
102,"Shy Away","Twenty One Pilots",4138,https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN
103,Physical,"Dua Lipa",4131,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
104,"Visz a vérem",VALMAR,4126,https://open.spotify.com/track/5ljaIN5amyFn4fluFmjXy6
105,"Hol van az a lány","DR BRS",4102,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
106,"Szavak nélkül",Majka,4102,https://open.spotify.com/track/4RbHhXnG6WlV9BZHUb9Hn1
107,"Blueberry Faygo","Lil Mosey",4089,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
108,"Lose Control",MEDUZA,4086,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
109,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",4024,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
110,Salt,"Ava Max",3968,https://open.spotify.com/track/5iyZwawawLjHYpX4MxUKVF
111,"Boldog leszek","ByeAlex és a Slepp",3960,https://open.spotify.com/track/0q70Uj4XllYNN7Ulrnu1Sm
